league,div,season,date,time,homeTeam,awayTeam,fthg,ftag,ftr,hthg,htag,htr,referee,hs,as,hst,ast,hf,af,hc,ac,hy,ay,hr,ar
"German ",D1,2022/2023,2023-01-25,19:30:00,"Werder Bremen","Union Berlin",1,2,A,1,1,D,,8,11,3,5,11,17,5,7,0,0,0,0
"German ",D1,2022/2023,2023-03-31,19:30:00,"Ein Frankfurt",Bochum,1,1,D,1,1,D,,18,8,7,2,14,13,15,2,3,2,0,0
"German ",D1,2022/2023,2023-02-18,14:30:00,Wolfsburg,"RB Leipzig",0,3,A,0,1,A,,7,17,2,5,16,15,2,5,1,1,0,0
"German ",D1,2022/2023,2023-04-22,14:30:00,Bochum,Wolfsburg,1,5,A,0,3,A,,23,15,6,7,11,8,10,3,3,3,0,0
"German ",D1,2022/2023,2022-08-21,16:30:00,Bochum,"Bayern Munich",0,7,A,0,4,A,,13,22,7,12,10,6,5,5,1,0,0,0
"German ",D1,2022/2023,2022-11-12,14:30:00,Hertha,"FC Koln",2,0,H,1,0,H,,17,10,8,2,15,10,10,5,3,1,0,0
"German ",D1,2022/2023,2023-03-04,14:30:00,Mainz,Hoffenheim,1,0,H,1,0,H,,16,15,6,4,12,15,11,3,1,4,0,0
"German ",D1,2022/2023,2022-09-17,14:30:00,Dortmund,"Schalke 04",1,0,H,0,0,D,,19,3,7,0,12,14,11,2,3,2,0,0
"German ",D1,2021/2022,2021-08-21,14:30:00,"Greuther Furth",Bielefeld,1,1,D,0,1,A,,20,9,5,2,12,15,5,0,4,2,0,1
"German ",D1,2021/2022,2022-01-15,17:30:00,M'gladbach,Leverkusen,1,2,A,0,0,D,,16,29,6,13,8,18,5,7,2,3,0,0
"German ",D1,2021/2022,2022-04-17,16:30:00,Hoffenheim,"Greuther Furth",0,0,D,0,0,D,,16,7,3,1,19,15,10,1,3,3,0,0
"German ",D1,2021/2022,2022-04-06,17:30:00,Augsburg,Mainz,2,1,H,1,0,H,,14,17,4,3,16,18,5,7,3,2,0,0
"German ",D1,2021/2022,2021-11-20,17:30:00,"Union Berlin",Hertha,2,0,H,2,0,H,,16,6,5,3,17,13,7,6,1,1,0,0
"German ",D1,2021/2022,2022-05-14,14:30:00,Wolfsburg,"Bayern Munich",2,2,D,1,2,A,,10,25,2,10,5,10,2,12,1,2,0,0
"German ",D1,2020/2021,2021-04-03,14:30:00,Augsburg,Hoffenheim,2,1,H,2,0,H,,7,16,2,6,7,11,2,10,1,1,0,0
"German ",D1,2020/2021,2020-10-04,14:30:00,Wolfsburg,Augsburg,0,0,D,0,0,D,,17,9,6,1,7,13,12,2,0,1,0,0
"German ",D1,2020/2021,2021-05-08,17:30:00,"Bayern Munich",M'gladbach,6,0,H,4,0,H,,22,14,7,2,3,9,5,3,0,2,1,0
"German ",D1,2020/2021,2021-04-21,19:30:00,Hoffenheim,M'gladbach,3,2,H,0,2,A,,19,5,6,3,9,5,5,4,3,0,0,0
"German ",D1,2020/2021,2021-04-21,19:30:00,Stuttgart,Wolfsburg,1,3,A,0,2,A,,11,13,4,4,12,11,4,1,3,0,0,0
"German ",D1,2020/2021,2021-02-06,14:30:00,"Schalke 04","RB Leipzig",0,3,A,0,1,A,,3,24,1,10,14,16,1,7,2,1,0,0
"German ",D2,2022/2023,2023-04-23,12:30:00,Regensburg,Kaiserslautern,0,0,D,0,0,D,,10,9,4,2,11,13,4,3,0,4,1,0
"German ",D2,2022/2023,2022-08-07,12:30:00,Magdeburg,"Holstein Kiel",1,2,A,1,1,D,,9,17,3,6,10,15,3,9,4,4,1,0
"German ",D2,2022/2023,2022-08-27,12:00:00,Darmstadt,Heidenheim,2,2,D,1,0,H,,16,8,6,4,8,18,12,2,2,6,0,0
"German ",D2,2022/2023,2023-04-29,12:00:00,Magdeburg,Hamburg,3,2,H,1,1,D,,11,13,4,7,11,17,2,12,2,3,0,0
"German ",D2,2022/2023,2023-03-12,12:30:00,"Holstein Kiel",Regensburg,1,2,A,1,1,D,,15,8,3,4,8,10,9,0,2,4,0,0
"German ",D2,2022/2023,2022-10-28,17:30:00,"Greuther Furth",Bielefeld,1,0,H,1,0,H,,17,9,7,1,12,13,6,3,2,2,0,0
"German ",D2,2021/2022,2021-08-13,17:30:00,"St Pauli",Hamburg,3,2,H,1,1,D,,15,9,4,2,9,12,3,3,2,3,0,0
"German ",D2,2021/2022,2022-02-11,17:30:00,"Erzgebirge Aue","Holstein Kiel",2,3,A,0,2,A,,12,12,5,4,14,11,5,3,4,3,1,0
"German ",D2,2021/2022,2021-12-03,17:30:00,"Werder Bremen","Erzgebirge Aue",4,0,H,2,0,H,,15,9,8,3,14,16,6,2,2,2,0,0
"German ",D2,2021/2022,2021-09-25,12:30:00,Ingolstadt,"Fortuna Dusseldorf",1,2,A,0,0,D,,11,13,3,2,15,13,4,8,4,3,0,1
"German ",D2,2021/2022,2021-09-21,12:30:00,"Hansa Rostock",Darmstadt,2,1,H,1,0,H,,13,12,5,5,11,16,7,4,2,4,0,0
"German ",D2,2021/2022,2021-11-07,12:30:00,"Schalke 04",Darmstadt,2,4,A,1,2,A,,19,17,8,6,7,21,9,4,2,2,0,0
"German ",D2,2020/2021,2021-01-29,17:30:00,"Greuther Furth","Erzgebirge Aue",3,0,H,2,0,H,,12,7,6,2,13,16,2,4,3,2,0,0
"German ",D2,2020/2021,2021-04-18,12:30:00,Bochum,Hannover,4,3,H,2,1,H,,11,14,7,8,16,16,8,9,1,1,0,0
"German ",D2,2020/2021,2021-02-12,17:30:00,Hannover,Paderborn,0,0,D,0,0,D,,11,11,2,3,13,11,6,5,2,0,0,0
"German ",D2,2020/2021,2021-04-24,12:00:00,Nurnberg,Heidenheim,3,1,H,2,1,H,,17,10,7,4,8,15,3,4,0,5,0,1
"German ",D2,2020/2021,2021-04-11,12:30:00,"Wurzburger Kickers",Nurnberg,1,1,D,0,1,A,,14,13,4,6,8,21,3,6,3,4,0,0
"German ",D2,2020/2021,2021-03-05,17:30:00,Paderborn,Darmstadt,2,3,A,1,1,D,,17,18,2,8,10,18,7,4,3,5,0,0
English,E0,2022/2023,2023-01-01,16:30:00,"Nott'm Forest",Chelsea,1,1,D,0,1,A,"P Bankes",12,7,5,2,16,14,1,2,2,2,0,0
English,E0,2022/2023,2022-12-26,17:30:00,"Aston Villa",Liverpool,1,3,A,0,2,A,"P Tierney",12,16,6,9,7,12,0,6,0,0,0,0
English,E0,2022/2023,2023-01-21,12:30:00,Liverpool,Chelsea,0,0,D,0,0,D,"M Oliver",15,11,3,2,16,9,5,5,3,1,0,0
English,E0,2022/2023,2022-11-06,12:00:00,Chelsea,Arsenal,0,1,A,0,0,D,"M Oliver",5,14,1,2,20,13,4,6,5,2,0,0
English,E0,2022/2023,2022-10-01,12:30:00,Arsenal,Tottenham,3,1,H,1,1,D,"A Taylor",22,7,9,3,10,10,5,2,2,1,0,1
English,E0,2022/2023,2022-10-15,15:00:00,Fulham,Bournemouth,2,2,D,1,2,A,"G Scott",19,10,4,6,9,11,5,6,2,0,0,0
English,E0,2021/2022,2022-05-22,16:00:00,"Man City","Aston Villa",3,2,H,0,1,A,"M Oliver",24,4,5,2,5,11,13,1,0,1,0,0
English,E0,2021/2022,2021-08-21,17:30:00,Brighton,Watford,2,0,H,2,0,H,"A Taylor",13,10,3,1,11,6,7,2,4,0,0,0
English,E0,2021/2022,2021-08-14,15:00:00,Chelsea,"Crystal Palace",3,0,H,2,0,H,"J Moss",13,4,6,1,15,11,5,2,0,0,0,0
English,E0,2021/2022,2022-03-06,16:30:00,"Man City","Man United",4,1,H,2,1,H,"M Oliver",24,5,10,2,10,14,9,3,0,1,0,0
English,E0,2021/2022,2022-01-23,14:00:00,"Crystal Palace",Liverpool,1,3,A,0,2,A,"K Friend",8,15,5,7,12,10,2,5,4,1,0,0
English,E0,2021/2022,2021-09-11,15:00:00,Arsenal,Norwich,1,0,H,0,0,D,"M Oliver",30,10,7,1,9,11,8,4,1,2,0,0
English,E0,2021/2022,2022-01-22,15:00:00,Brentford,Wolves,1,2,A,0,0,D,"P Bankes",11,7,1,2,6,7,6,3,2,3,0,0
English,E0,2020/2021,2021-03-15,20:00:00,Wolves,Liverpool,0,1,A,0,1,A,"C Pawson",10,12,5,4,17,10,3,2,2,1,0,0
English,E0,2020/2021,2021-03-03,18:00:00,"Sheffield United","Aston Villa",1,0,H,1,0,H,"R Jones",9,16,2,4,13,6,2,7,1,0,1,0
English,E0,2020/2021,2021-01-26,20:15:00,"West Brom","Man City",0,5,A,0,4,A,"C Kavanagh",4,18,1,7,8,8,3,8,2,0,0,0
English,E0,2020/2021,2021-01-27,20:15:00,"Man United","Sheffield United",1,2,A,0,1,A,"P Bankes",16,5,4,3,10,12,7,2,1,1,0,0
English,E0,2020/2021,2021-02-03,18:00:00,Burnley,"Man City",0,2,A,0,2,A,"M Atkinson",2,17,0,6,8,5,1,3,2,1,0,0
English,E0,2020/2021,2020-09-14,20:15:00,Brighton,Chelsea,1,3,A,0,1,A,"C Pawson",13,10,3,5,8,13,4,3,1,0,0,0
English,E0,2020/2021,2020-10-18,12:00:00,"Sheffield United",Fulham,1,1,D,0,0,D,"A Marriner",10,15,6,6,5,9,2,5,0,2,0,0
English,E0,2020/2021,2021-01-17,16:30:00,Liverpool,"Man United",0,0,D,0,0,D,"P Tierney",17,8,3,4,15,6,7,3,2,1,0,0
English,E1,2022/2023,2022-11-04,20:00:00,Reading,Preston,1,2,A,0,0,D,"D Webb",11,10,2,4,10,9,3,2,1,4,0,0
English,E1,2022/2023,2023-04-01,15:00:00,Hull,Rotherham,0,0,D,0,0,D,"D Webb",14,4,1,0,7,14,8,8,0,2,0,1
English,E1,2022/2023,2022-10-23,12:00:00,Swansea,Cardiff,2,0,H,1,0,H,"D Bond",13,3,6,1,5,10,7,1,3,3,0,1
English,E1,2022/2023,2023-02-15,20:00:00,"West Brom",Blackburn,1,1,D,0,0,D,"D Webb",12,10,4,4,10,12,12,5,2,1,0,0
English,E1,2022/2023,2023-01-20,20:00:00,Burnley,"West Brom",2,1,H,0,1,A,"J Gillett",17,8,2,2,7,8,16,5,1,1,0,0
English,E1,2022/2023,2022-10-22,15:00:00,Sunderland,Burnley,2,4,A,2,0,H,"T Robinson",10,9,5,4,9,10,2,5,1,3,0,0
English,E1,2022/2023,2023-02-25,15:00:00,Norwich,Cardiff,2,0,H,2,0,H,"J Linington",13,9,4,2,12,9,3,5,1,1,0,0
English,E1,2022/2023,2022-10-19,20:00:00,Millwall,Watford,3,0,H,3,0,H,"D Webb",12,13,4,2,12,10,2,5,0,2,0,0
English,E1,2021/2022,2022-01-15,12:30:00,Cardiff,Blackburn,0,1,A,0,1,A,"M Donohue",11,4,2,2,10,13,7,2,4,5,0,1
English,E1,2021/2022,2021-12-18,15:00:00,"Nott'm Forest",Hull,2,1,H,0,1,A,"J Busby",9,11,3,2,7,12,5,5,2,5,0,0
English,E1,2021/2022,2021-09-18,15:00:00,Preston,"West Brom",1,1,D,1,1,D,"A Davies",8,12,2,3,10,12,3,10,1,1,0,0
English,E1,2021/2022,2022-01-15,15:00:00,Fulham,"Bristol City",6,2,H,5,2,H,"T Robinson",18,8,8,5,8,8,6,4,0,2,0,0
English,E1,2021/2022,2022-03-12,12:30:00,Barnsley,Fulham,1,1,D,1,0,H,"T Robinson",8,16,3,3,15,13,4,5,4,3,0,0
English,E1,2021/2022,2022-03-12,15:00:00,Peterboro,Stoke,2,2,D,1,1,D,"D Whitestone",6,14,3,2,18,10,3,3,1,2,0,0
English,E1,2020/2021,2021-02-20,15:00:00,"Bristol City",Barnsley,0,1,A,0,0,D,"J Linington",1,15,1,5,8,14,0,5,1,2,0,0
English,E1,2020/2021,2021-02-16,19:45:00,Middlesbrough,Huddersfield,2,1,H,2,1,H,"J Simpson",11,16,5,5,14,17,9,4,1,1,1,0
English,E1,2020/2021,2021-03-12,19:45:00,Blackburn,Brentford,0,1,A,0,1,A,"G Eltringham",10,13,4,3,19,15,2,3,4,2,0,0
English,E1,2020/2021,2020-12-19,12:30:00,Norwich,Cardiff,2,0,H,1,0,H,"T Robinson",16,10,5,3,14,16,6,7,0,4,0,0
English,E1,2020/2021,2021-01-30,15:00:00,Birmingham,Coventry,1,1,D,1,1,D,"G Eltringham",13,13,3,3,19,11,9,0,3,1,0,0
English,E1,2020/2021,2020-10-21,19:45:00,Cardiff,Bournemouth,1,1,D,0,1,A,"S Hooper",13,17,3,6,18,15,6,6,2,0,0,0
English,E1,2020/2021,2021-03-06,12:30:00,Watford,"Nott'm Forest",1,0,H,1,0,H,"J Moss",12,9,4,0,16,8,7,8,2,1,0,0
English,E1,2020/2021,2021-04-25,12:00:00,Reading,Swansea,2,2,D,1,0,H,"J Brooks",14,15,4,4,13,15,7,4,1,2,0,0
English,E1,2020/2021,2021-04-24,15:00:00,Watford,Millwall,1,0,H,1,0,H,"D Whitestone",13,10,4,2,9,19,5,5,0,1,0,0
Spanish,SP1,2022/2023,2022-09-11,13:00:00,"Real Madrid",Mallorca,4,1,H,1,1,D,,22,5,7,2,7,15,4,3,3,5,0,0
Spanish,SP1,2022/2023,2023-03-12,17:30:00,Villarreal,Betis,1,1,D,0,1,A,,15,6,4,3,8,11,2,4,3,2,0,0
Spanish,SP1,2022/2023,2023-03-19,20:00:00,Barcelona,"Real Madrid",2,1,H,1,1,D,,17,11,7,3,12,13,8,1,4,3,0,0
Spanish,SP1,2022/2023,2023-05-28,18:00:00,Valencia,Espanol,2,2,D,1,1,D,,19,9,4,5,12,12,10,3,0,4,0,0
Spanish,SP1,2022/2023,2022-09-10,15:15:00,Espanol,Sevilla,2,3,A,1,3,A,,19,11,5,7,11,14,9,3,3,5,0,1
Spanish,SP1,2022/2023,2023-04-24,18:30:00,Valencia,Valladolid,2,1,H,0,1,A,,18,8,5,2,16,17,6,2,0,4,0,0
Spanish,SP1,2022/2023,2022-12-29,16:00:00,Girona,Vallecano,2,2,D,1,1,D,,16,12,7,4,14,14,2,4,3,2,0,0
Spanish,SP1,2021/2022,2022-01-23,13:00:00,Granada,Osasuna,0,2,A,0,0,D,,6,16,2,7,12,15,4,3,0,2,0,0
Spanish,SP1,2021/2022,2022-02-13,17:30:00,Sociedad,Granada,2,0,H,1,0,H,,18,15,8,2,13,13,6,5,0,2,0,0
Spanish,SP1,2021/2022,2021-10-03,17:30:00,Villarreal,Betis,2,0,H,1,0,H,,11,10,5,3,14,9,4,6,2,4,0,0
Spanish,SP1,2021/2022,2021-09-18,20:00:00,Alaves,Osasuna,0,2,A,0,2,A,,8,13,3,5,11,14,2,8,4,3,0,0
Spanish,SP1,2021/2022,2022-04-02,20:00:00,"Ath Madrid",Alaves,4,1,H,1,0,H,,14,7,8,1,10,13,8,2,1,0,0,0
Spanish,SP1,2021/2022,2022-02-20,13:00:00,Espanol,Sevilla,1,1,D,0,1,A,,11,7,4,2,14,14,3,7,4,5,0,1
Spanish,SP1,2021/2022,2022-02-27,20:00:00,Barcelona,"Ath Bilbao",4,0,H,1,0,H,,17,6,7,3,8,10,5,0,2,1,0,0
Spanish,SP1,2021/2022,2021-11-27,20:00:00,Villarreal,Barcelona,1,3,A,0,0,D,,14,12,2,6,19,14,4,4,2,2,0,0
Spanish,SP1,2020/2021,2021-01-24,13:00:00,Osasuna,Granada,3,1,H,2,0,H,,7,12,4,1,15,15,1,5,5,4,1,0
Spanish,SP1,2020/2021,2021-02-01,20:00:00,Betis,Osasuna,1,0,H,0,0,D,,8,15,4,5,12,6,3,4,1,1,0,0
Spanish,SP1,2020/2021,2020-09-27,15:00:00,"Ath Madrid",Granada,6,1,H,1,0,H,,17,11,10,6,16,14,1,1,3,1,0,0
Spanish,SP1,2020/2021,2021-04-21,19:00:00,Betis,"Ath Bilbao",0,0,D,0,0,D,,6,16,2,4,10,16,5,4,3,2,1,0
Spanish,SP1,2020/2021,2021-05-07,20:00:00,Sociedad,Elche,2,0,H,0,0,D,,16,1,3,0,8,10,7,0,1,3,0,1
Spanish,SP1,2020/2021,2020-11-08,15:15:00,Sociedad,Granada,2,0,H,2,0,H,,22,2,9,1,8,11,15,0,2,1,1,0
Spanish,SP2,2022/2023,2023-03-05,17:30:00,Malaga,Santander,0,1,A,0,0,D,,20,14,3,7,14,14,5,6,1,4,1,0
Spanish,SP2,2022/2023,2022-08-21,16:30:00,Oviedo,Leganes,1,0,H,0,0,D,,11,5,5,0,16,10,4,2,5,3,0,1
Spanish,SP2,2022/2023,2023-05-28,15:15:00,"Sp Gijon",Ponferradina,1,4,A,0,1,A,,20,6,4,5,12,12,4,1,1,1,0,0
Spanish,SP2,2022/2023,2022-11-20,18:00:00,Eibar,Alaves,0,0,D,0,0,D,,11,7,0,0,10,11,4,4,0,1,0,0
Spanish,SP2,2022/2023,2023-03-11,17:30:00,Alaves,Lugo,0,0,D,0,0,D,,18,9,6,3,13,16,6,5,3,3,0,1
Spanish,SP2,2022/2023,2023-05-20,17:30:00,Alaves,Malaga,2,1,H,0,0,D,,15,15,4,5,23,15,6,3,3,3,0,0
Spanish,SP2,2022/2023,2022-11-03,20:00:00,Granada,Levante,0,0,D,0,0,D,,16,4,3,1,14,12,8,1,1,6,0,0
Spanish,SP2,2022/2023,2023-04-16,13:00:00,Andorra,Huesca,1,0,H,1,0,H,,12,6,8,2,5,17,3,3,1,5,0,1
Spanish,SP2,2021/2022,2022-05-01,17:15:00,Ponferradina,Cartagena,4,2,H,3,2,H,,14,15,5,6,9,14,2,3,4,2,0,0
Spanish,SP2,2021/2022,2022-03-27,20:00:00,Almeria,Girona,0,1,A,0,1,A,,15,9,4,6,13,11,5,2,2,6,0,1
Spanish,SP2,2021/2022,2022-04-30,19:30:00,Burgos,Almeria,0,2,A,0,2,A,,13,13,7,5,7,17,3,4,2,2,0,0
Spanish,SP2,2021/2022,2021-11-22,20:00:00,Zaragoza,Leganes,0,2,A,0,1,A,,13,10,3,4,18,15,1,3,3,3,0,0
Spanish,SP2,2021/2022,2022-05-14,20:00:00,Leganes,Eibar,2,3,A,1,2,A,,19,10,5,3,13,14,7,1,3,4,0,0
Spanish,SP2,2021/2022,2021-10-17,15:00:00,Leganes,Valladolid,0,2,A,0,1,A,,12,12,4,4,17,12,3,2,3,1,0,0
Spanish,SP2,2020/2021,2021-05-30,20:00:00,Vallecano,Lugo,0,1,A,0,1,A,,23,8,6,5,10,8,12,1,1,2,0,0
Spanish,SP2,2020/2021,2021-05-30,20:00:00,Ponferradina,Mallorca,2,2,D,1,1,D,,13,14,5,5,6,8,3,7,0,3,0,0
Spanish,SP2,2020/2021,2021-02-21,17:15:00,Girona,Castellon,2,1,H,2,0,H,,5,11,2,3,15,17,3,6,3,1,0,0
Spanish,SP2,2020/2021,2021-02-13,19:30:00,Tenerife,Ponferradina,1,0,H,0,0,D,,18,7,7,4,14,22,4,2,1,0,0,0
Spanish,SP2,2020/2021,2020-09-27,17:15:00,Ponferradina,Vallecano,3,0,H,3,0,H,,7,10,4,3,23,14,2,8,1,3,0,0
Spanish,SP2,2020/2021,2021-05-19,20:30:00,Tenerife,Mallorca,0,1,A,0,1,A,,11,10,3,5,23,9,2,7,5,2,0,0
Spanish,SP2,2020/2021,2020-09-27,17:15:00,Oviedo,Espanol,0,2,A,0,0,D,,7,5,2,2,17,12,7,4,2,0,0,0
Spanish,SP2,2020/2021,2020-12-13,15:00:00,Almeria,Malaga,3,1,H,1,1,D,,9,10,6,5,18,13,3,5,7,2,0,0
Spanish,SP2,2020/2021,2020-12-21,20:30:00,Tenerife,Girona,2,0,H,2,0,H,,9,9,5,2,20,13,4,6,2,2,1,1
